# Sentences written for this pack (src "gen"): word<TAB>Korean<TAB>English. Polite style (해요체/합쇼체).
# Each covers a word Tatoeba shows in fewer than 2 usable sentences.
오:num	회의는 오 분 후에 시작해요.	The meeting starts in five minutes.
오:num	우리 집은 오 층에 있어요.	Our home is on the fifth floor.
삼:num	저는 한국에서 삼 년 살았어요.	I lived in Korea for three years.
삼:num	화장실은 삼 층에 있어요.	The bathroom is on the third floor.
백:num	학교에 학생이 백 명 있어요.	There are a hundred students at the school.
백:num	우리 할머니는 백 살이에요.	My grandmother is a hundred years old.
구:num	버스가 구 분 후에 와요.	The bus comes in nine minutes.
구:num	저는 구 층에 살아요.	I live on the ninth floor.
칠:num	지하철로 칠 분 걸려요.	It takes seven minutes by subway.
사:num	제 방은 사 층에 있어요.	My room is on the fourth floor.
사:num	사 년 동안 한국어를 공부했어요.	I studied Korean for four years.
십:num	십 분만 기다려 주세요.	Please wait just ten minutes.
십:num	십 년 전에 여기에 왔어요.	I came here ten years ago.
육:num	육 년 동안 이 회사에서 일했어요.	I worked at this company for six years.
육:num	우리 집은 육 층에 있어요.	Our home is on the sixth floor.
팔:num	팔 분 후에 기차가 떠나요.	The train leaves in eight minutes.
팔:num	우리 아이는 팔 년 전에 태어났어요.	Our child was born eight years ago.
천:num	이 빵은 천 원이에요.	This bread is a thousand won.
천:num	사과 하나에 천 원이에요.	One apple is a thousand won.
만:num	이 책은 만 원이에요.	This book is ten thousand won.
만:num	가방이 만 원이에요? 정말 싸요.	The bag is ten thousand won? That's really cheap.
영:num	시험에서 영 점을 받았어요.	I got zero points on the test.
영:num	제 점수는 영 점이에요.	My score is zero.
다섯	사과 다섯 개 주세요.	Five apples, please.
다섯	우리 가족은 다섯 명이에요.	There are five people in our family.
아홉	아홉 시에 학교에 가요.	I go to school at nine o'clock.
아홉	동생은 아홉 살이에요.	My younger sibling is nine years old.
여섯	여섯 시에 저녁을 먹어요.	I eat dinner at six o'clock.
여섯	집에 고양이 여섯 마리가 있어요.	There are six cats at home.
여덟	아침 여덟 시에 일어나요.	I get up at eight in the morning.
일곱	일곱 시에 친구를 만나요.	I meet a friend at seven o'clock.
일월	일월은 아주 추워요.	January is very cold.
일월	일월에 한국에 갈 거예요.	I'm going to Korea in January.
이월	이월에 눈이 많이 와요.	It snows a lot in February.
이월	제 생일은 이월이에요.	My birthday is in February.
삼월	삼월에 학교가 시작해요.	School starts in March.
삼월	삼월에는 날씨가 따뜻해요.	The weather is warm in March.
사월	사월에 꽃이 많이 피어요.	Many flowers bloom in April.
사월	사월에 친구가 결혼해요.	My friend is getting married in April.
오월	오월은 날씨가 좋아요.	The weather is nice in May.
오월	오월에 가족과 여행을 갈 거예요.	I'm going on a trip with my family in May.
유월	유월에 비가 많이 와요.	It rains a lot in June.
유월	유월에 시험이 있어요.	There's an exam in June.
